D0	D8	N
200700_s_at	0.0688700890974303	-0.124341470740832	-0.124341470740832
200701_at	-0.177821254865664	-0.527500105779669	-0.527500105779669
200702_s_at	0.145143891829848	-0.158158140851441	-0.158158140851441
200703_at	0.830852811349486	0.549696768087118	0.549696768087118
200704_at	-0.0868607690583989	0.0747876184156624	0.0747876184156624
200705_s_at	0.022931362280934	-0.133649815644757	-0.133649815644757
200706_s_at	-1.93796652160884	-1.91452800727984	-1.91452800727984
200707_at	5.72547156629085	4.48459980060105	4.48459980060105
200708_at	-0.138763215493855	-0.330529827491342	-0.330529827491342
200709_at	0.652022012728867	0.696621300707088	0.696621300707088
200710_at	-0.192349162756255	-0.107069884045632	-0.107069884045632
200711_s_at	-0.351582227820312	-0.355023448941072	-0.355023448941072
200712_s_at	-1.52608270183771	-1.1401668739931	-1.1401668739931
200713_s_at	-0.451741643431465	-0.149989720904664	-0.149989720904664
200714_x_at	0.0963607453162734	-0.054181884612019	-0.054181884612019
200715_x_at	-0.057859116356596	-0.0209384585661372	-0.0209384585661372
200716_x_at	0.399006894968036	0.411162973575632	0.411162973575632
200717_x_at	0.171491199883571	0.161186261038436	0.161186261038436
200718_s_at	0.122256670200068	0.0395286495273464	0.0395286495273464
200719_at	-0.664802131725335	-0.496461021137735	-0.496461021137735
200720_s_at	-0.764887159394961	-0.664050787023552	-0.664050787023552
200721_s_at	-0.567698344682249	0.114818838354021	0.114818838354021
200722_s_at	-1.04350345176831	-0.831146608210313	-0.831146608210313
200723_s_at	-0.702752500154938	-0.693557526583058	-0.693557526583058
200724_at	-0.941503211784092	-0.337109416729507	-0.337109416729507
200725_x_at	0.304377958975047	0.328138305631294	0.328138305631294
200726_at	-0.372778636150509	-0.40777681468222	-0.40777681468222
200727_s_at	0.46018675498734	0.0397393003254827	0.0397393003254827
200728_at	-0.664856337336525	-0.363375106077775	-0.363375106077775
200729_s_at	-0.571261049858377	-0.390825073407939	-0.390825073407939
200730_s_at	-2.07387271782819	-1.54640340070586	-1.54640340070586
200731_s_at	-1.03932479336024	-0.35691373302978	-0.35691373302978
200732_s_at	-0.541509702615436	-0.0464998775188423	-0.0464998775188423
200733_s_at	-0.242964173483932	-0.0988058097596447	-0.0988058097596447
200734_s_at	1.01991285767964	0.747782539211574	0.747782539211574
200735_x_at	-0.0145072568202362	0.0043022235747916	0.0043022235747916
200736_s_at	-0.105969484906256	-0.102918658863636	-0.102918658863636
200737_at	-1.16519569023668	-1.05012377775096	-1.05012377775096
200738_s_at	-0.357214658075131	-0.236228039121224	-0.236228039121224
200739_s_at	0.291365131239745	0.211257337637695	0.211257337637695
200740_s_at	-0.152747237693584	-0.098514668234218	-0.098514668234218
200741_s_at	0.328678520310243	0.347277656787693	0.347277656787693
200742_s_at	-0.653792050235365	-0.777799589189121	-0.777799589189121
200743_s_at	0.338793794254503	0.177156143376553	0.177156143376553
200744_s_at	-1.21041244116115	-0.958196450717226	-0.958196450717226
200745_s_at	-0.940360417025055	-0.784566339902943	-0.784566339902943
200746_s_at	0.307971401432194	1.00189833032209	1.00189833032209
200747_s_at	0.598593138709793	0.760761844363927	0.760761844363927
200748_s_at	-0.0995038589343142	-0.00418529927003064	-0.00418529927003064
200749_at	0.428427376981704	0.395569454733808	0.395569454733808
200750_s_at	-0.273621738790006	-0.563707236551275	-0.563707236551275
200751_s_at	-1.84316157566546	-2.08048917734388	-2.08048917734388
200752_s_at	-0.393652678563561	1.01472910524128	1.01472910524128
200753_x_at	-1.10587862995254	-1.07479098151139	-1.07479098151139
200754_x_at	-0.551977093777603	-0.487569148974172	-0.487569148974172
