Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P192_D8	0.230688835743911	0.1203263120203447	0	0.3177480743049812	0.023894249880372916	0	0.0047420252518013345	0.00905560499200129	0.0002	0	0.05869475715450505	0.04992612921716148	0.1605540725487673	0	0	0.0008	0	0.00314314139824403	0.009199952751957893	0	0.011036858394908181	0	0	0.5269727791482802	0.8495785453259262
P193_D8	0.1751602400892339	0.0891451328040873	0	0.1730764087299124	0.06907331796136539	0	0	0.04283163451872585	0.04492180384499526	0	0.01190924132393818	0.02471119760470347	0.05369806007232054	0.03958975737501739	0	0	0	0.015547904362100736	0.039655848783803585	0	0.041078174361159674	0.1796012781686364	0	0.4865869817643048	0.8730720163556979
P194_D8	0.1772898434933836	0.12555582161442602	0.10383806616465767	0.13705384802379136	0.03253568521435393	0	0	0.04212372383839117	0	0	0.03095924328833479	0.0537178182355636	0.1044964978362553	0.04041969952354389	0	0.007476421151087827	0	0	0.0882211966273097	0	0.04585524175863077	0.010456893230270303	0	0.4614718993722038	0.8872883056120512
P195_D8	0.33798075379213	0.1645644015583804	0	0.09508593529922392	0	0.06473896994562948	0	0.03759746162104353	0.0004	0	0.055203939327353985	0.00843950350311678	0.1042040144054296	0.012323690941022435	0	0.04090285517356394	0	0	0.0071657044057300105	0	0.07140454736224729	0	0.01	0.34855209295575085	0.9636549330335753
P196_D8	0.371941380986694	0	0.011492190417183195	0.3963280558151827	0	0	0.005502296781003328	0.041207793078762586	0.0009	0.013487648483848192	0.019590592603672862	0.006394598642401961	0.09268943308873613	0.0045322862561704555	0	0.001010949781291424	0	0.0029084572665005718	0	0	0.028976809492752265	0.0030215926958602783	0	0.5153192125313716	0.8599847482518395
P197_D8	0.35096334382448385	0	0.06461135525645167	0.02258014902381944	0.08378408735391549	0.1383069882833335	0	0.0018660902590794748	0	0	0.08969394606938402	0	0.08992135311908561	0.01903797944699571	0	0	0	0	0.0004	0.0003	0.10987184868111224	0.028655757081538596	0.01	0.3726747632227824	0.9411498612189303
P199_D8	0.05967044291245861	0.041058311924217404	0.0533509283091898	0.21616765212249375	0.010630019244208588	0	0.0018971503152812098	0.03284892239981735	0.03790307722546832	0	0	0.06273104114325799	0.2946153226742075	0.03593986781929884	0	0	0	0.01739026389201545	0.07233499058269016	0	0.02991021807796727	0.033551791357427786	0	0.4688574149333523	0.8832123703259345
P200_D8	0.6711873665888948	0	0	0.00597004734492316	0.11374705525326148	0	0.006474493100800367	0	0	0.004163292651582406	0.05667410027703809	0	0.10175544335751184	0.0002	0	0.0037363950509237487	0	0.003019629137758227	0.007963769207309531	0	0.025079622860778365	0	0	0.5536932541791252	0.8524390167605229
P201_D8	0.0678997749270305	0.08267333655249617	0.009418023993014016	0.21436018401600626	0.04801188014518138	0.07287944312352829	0	0.013091158770385348	0.012415117819708494	0.0009	0	0.044265594256503914	0.33259682958918246	0	0	0	0	0.006834448265823406	0.006173286605686681	0	0.040653155348817145	0.04780578912076899	0	0.46079026872953976	0.8868542165222185
P202_D8	0.18041479740982105	0.15170756903945026	0.0536517022445197	0.11723209685430429	0.002911360472030857	0.027340535355262235	0	0.024144256664317975	0.02086403733426012	0.02430760145669901	0.04537073448390738	0	0.22354536811737732	0.04380847280306969	0	0	0	0	0.028404943842160392	0	0.05629652392281966	0	0	0.42608495111715056	0.9062653476417446
P203_D8	0.06143533239110698	0.07312317585650133	0.016844211770485458	0.15183441752968516	0.024818149795439316	0.021963063179072522	0	0.031916429952787595	0	0.0032851810997346076	0.007993012155134724	0.061303060369538115	0.382988868082195	0.047838940009538054	0	0	0	0.018246376966001076	0.03420031896038314	0	0.062209461882396996	0	0.01	0.34991654152237406	0.9409580627662568
P204_D8	0.04546095605464671	0.007118630644486588	0.03153402414192757	0	0.02610467709492175	0	0	0.029956796964778164	0	0.00203171521214999	0.020384158776943457	0.01572666523017434	0.40663557732694294	0.0374175470656526	0	0.021651319091826517	0	0.004671329085570186	0.12069711173082469	0	0.11949576606684478	0.11111372551230979	0.01	0.3997643942852405	0.9214903050716151
P205_D8	0.23361031016581718	0.12641165814284722	0	0.12731021716049098	0.012552354816930306	0	0	0.03267703543322868	0.017572335277814575	0	0.12443422612051735	0.007326958213762146	0.19000043168503425	0.04087274581826533	0	0	0	0.011850172953336941	0.03525078173850474	0	0.0401307724734503	0	0	0.4253235854838301	0.9067719986261018
P206_D8	0.15643879202420555	0.047612550483568584	0.029603778586292356	0.22030134675747362	0	0	0.014082547750430708	0.017929933414003337	0	0	0.10574828856080332	0	0.3948083498965069	0.0027748629632023945	0	0	0	0.0020709760570709968	0.008628573506442208	0	0	0	0	0.4499361690828536	0.8933417579839024
P207_D8	0.19871061310220317	0.07749476647231335	0	0.030434234813402756	0	0	0	0.05364651813524526	0	0.014612669952621051	0	0.013757945133241857	0.27699726458698515	0.07895533564211447	0	0	0	0.019640199598604968	0	0.025487184294652517	0.0751929165977231	0.13507035167089226	0.01	0.3907411230442408	0.9263117338652974
P208_D8	0.07381832457913019	0.145228773800751	0	0.41835126096809655	0	0	0.03661957411560718	0.03415912868384877	0	0	0.17166622353251812	0	0.0582151667087095	0.010072629625599464	0	0.009886401509944109	0	0	0.009731224953558392	0	0.03224545046435405	0	0	0.557800794634233	0.8294023157745989
P209_D8	0.08678501412076202	0.04106002269800492	0.1326714675169779	0.1536890027145275	0	0.01177307505919338	0	0.03749115098954702	0.049549581883716415	0.005471841299094043	0.3610717817173938	0	0.046358459872649714	0.04257175419848253	0	0	0	0	0.02306848024613726	0	0	0.008438367683513553	0	0.6907226000220426	0.7286647153118939
P210_D8	0.27246509913195055	0.03439065475132801	0.03763847531902288	0.13341623099656397	0.09513179712107694	0.025185896215960082	0	0.016944194192334894	0	0.027900732462695973	0.04804633878889029	0.07799270481132198	0.07902657757382538	0.045348994506021346	0	0	0	0	0.06576940768542273	0	0.03159543367003808	0.009147462773546904	0	0.5526708618876545	0.8336606891777573
P211_D8	0.04257889500483371	0.06390058788054151	0.03610303152519298	0.38976332782427303	0	0	0.012658437532256756	0.07841642272430613	0	0.022791260872629098	0	0.009958202612616198	0.23807958871336588	0.0242850697958289	0	0	0	0	0.05884269492938848	0	0.021096244527488633	0.0015262360572787308	0	0.43375896993018687	0.9013409524293423
P212_D8	0.15380039977219293	0.06163855246570898	0.058637043345158985	0.22886318336342829	0	0	0.0065921911890671646	0.019500291402187692	0.005040147503518881	0.016602062523706492	0.039321144981204384	0	0.3823177819954039	0.009225537480041103	0	0	0	0.0032701213557024115	0.0007	0	0.006169595500429121	0.008310857104922742	0	0.5499817997149944	0.8360926382718602
P213_D8	0.08826704718138595	0.07194646983537764	0.0008	0.23904549872095235	0	0	0	0.032380004041817116	0	0.017644349642922805	0.0640079921988984	0.02779399179108589	0.33701632904563594	0.03595432275654716	0	0	0	0.012199556833381437	0.06506391712864941	0	0.007901925422952271	0	0	0.429038482244847	0.902935507561557
P214_D8	0.22934724216946725	0.237830580496956	0.017803874742964704	0.168377687965016	0.041609105741415575	0	0	0.01939669285153166	0	0.0735885527596967	0.07749235335308786	0.014386692301698256	0.11565140686656411	0	0	0.0018705919052913412	0	0.002617101514084809	0	0	0	0	0	0.6626157294384659	0.751267028844686
P215_D8	0.009963493732943664	0.0421989941013506	0.04212465174633555	0.04973895065749681	0	0	0	0.01604718004843045	0	0	0.09882973448849484	0	0.5065191808323257	0.02081240525986865	0	0	0	0	0.0453128600543821	0	0.028059997871391216	0.14039255120698035	0	0.5357414033126199	0.8438585511862644
P216_D8	0.11764105299640033	0	0	0.19703750776936532	0	0	0.04075965414911463	0.030438990716645176	0	0	0.058869563831826004	0.03452787722196372	0.24151980586433477	0.06346154451101907	0	0	0	0.012782583982175723	0.0768803094527271	0	0.04543662836603837	0.08064448113838975	0	0.4616232127350237	0.8867674331546148
P217_D8	0.008025122414921081	0.03497867466106002	0.016509569863618328	0.3399103808638599	0	0	0.05452091842429881	0.01788421528258396	0.008609600022003259	0	0.06927307470588082	0.04098956475315948	0.32652522708942655	0.0282075635364284	0	0	0	0	0.022301926517494353	0	0.009673067164534964	0.02259109470073013	0	0.6467179557740648	0.7780021118604331
P218_D8	0.16108790959352748	0	0.026618346697448208	0.02076796231698403	0.025452364680313387	0.05878369853946925	0	0.014130277360662375	0	0.035510157111162385	0.04874809145202411	0	0.35272805380305683	0.05223743283233296	0	0.021805233821026036	0	0.007694626635269422	0.03527902410910017	0	0.05672745925049379	0.08242936179712962	0.01	0.38946152661903527	0.9233949588063913
P219_D8	0.15826992452538372	0.06611253765517033	0.060718463882446186	0.18816343333918054	0.019878357504916743	0	0	0.04091228629074151	0.07856623074108086	0	0.05565703424521048	0.027001157940678845	0.14498709454669698	0.0364942863685447	0	0.03087386333655554	0	0	0.04866181859925247	0	0.03188812518835559	0.011815385835785583	0.01	0.39508398941522266	0.9202460241313094
P220_D8	0.1086103248971548	0	0.005569561783920184	0.005187023941077051	0.019365226909846392	0.01573111372262673	0	0.0001	0	0	0.03345414139036292	0	0.6517215358948308	0	0	0	0	0.0021446985516080258	0.03838205190376982	0	0.041015203182165214	0.07868324883175512	0	0.6081417495518918	0.7934605896154372
N01	0.0610531844521995	0	0.06243789558976323	0.014980208420939733	0.01978643800604509	0	0.03718763107737515	0	0	0.007370295079194551	0.0666715866015496	0	0.3344991576445587	0.09564750263566882	0	0	0	0.01176213869807459	0.05329860637885718	0	0.14390925417265038	0.09139610124312353	0	0.4115956705720905	0.9121452434935646
