Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P037_D0	0.554774545880103	0	0.03814654537339809	0.0024319896745568473	0.062329390783425406	0.08093773029302541	0	0	0	0	0.04210274602558698	0.03396769906718174	0.05707651288709269	0	0.0002	0.06370402772832189	0	0	0.0257655930269985	0	0.038543205988858624	0	0	0.4079037850755005	0.9456073003592285
P038_D0	0.4316716011691519	0.07969882790065592	0.030080215287016262	0.06277865768574732	0	0.06576284574061542	0	0.036988347435727036	0	0	0.013149740643912531	0.07576153556601002	0.08774280499757824	0.037254723089358975	0	0.009798769684139478	0	0	0.019662175989660396	0	0.04964975481042659	0	0	0.3753033517393206	0.9560165577845304
P039_D0	0.1408848199864593	0.03329075330763972	0.09192878931712378	0.0919101974985221	0.0020633444645995827	0.015753414544318015	0.01678492335734521	0	0	0	0.17041434302775255	0	0.21903123491375426	0	0	0.0042532142732214905	0	0.0026975662577433637	0.02461008061215245	0	0.11448454580895549	0.07189277263041266	0.02	0.2608073358905615	0.9876919228565227
P040_D0	0.30604529692035587	0	0.043738690540866744	0.13511146719481681	0	0.032915873482812025	0.03643874656073403	0	0	0	0.1414166516925269	0	0.21041806660552875	0	0	0.006615898882725459	0	0.0001	0	0.0002	0.07048901023639702	0.01648732603784083	0.01	0.2821412337558829	0.9849134743465259
P041_D0	0.1798383093849274	0	0.19626912485297254	0	0.13376716199034805	0.09247647804224078	0	0	0	0	0.03602837132744729	0.008822492161734675	0.1592986220028283	0.1202416140144586	0	0	0	0	0.005375438224840334	0.003999988027816141	0.06183194462715395	0.0020504553432320496	0.03	0.1884233815234798	1.0316637729182576
P042_D0	0.5332271587655381	0	0.029247642875217517	0	0	0.20913577524465668	0	0.017355984347065707	0	0	0.07240695714705256	0	0.049423771549304066	0	0.0002	0.04493968682332928	0	0	0	0.019832653942915272	0.024208548327896352	0	0	0.38383559917591925	0.9582978979769315
P043_D0	0.5183315414648668	0	0.00810749778909021	0.04163105605878055	0	0.19327624253659256	0	0.01830414772542509	0	0	0.07221146808739248	0	0.038618629211896044	0	0	0.005006204177424936	0	0.010957877298921642	0	0.05065598948176526	0.039783514629820466	0.0031158315380239708	0	0.3530185100445371	0.9740212507545579
P044_D0	0.1445065728460337	0.027374083323864897	0	0.04541190238936302	0	0.00374614448146059	0	0.005351374037308376	0	0	0.0307348243255383	0	0.605031486648401	0.0022452492631510135	0	0.09354907134313484	0.005066891050342109	0.0008	0.012195057573067304	0	0.02349119794750433	0.0005	0	0.6330158903346181	0.7778156896416691
P046_D0	0.43403029116911074	0.05348466212506824	0	0.12000137946368504	0.0697889576679116	0.0140499676362449	0	0	0	0	0.06754522502583486	0.02928699851036636	0.11063598347900744	0.0033598449065602963	0	0.030037677723196876	0	0	0.03200835638357756	0	0.02369958687098321	0.012071069038452918	0	0.3288174649451394	0.9787499211051759
P047_D0	0.397735216960363	0.07709580120543066	0	0.05865012950823856	0.0711227340612723	0.15094322840598964	0	0.0136802380574204	0	0	0	0.08382964039239778	0.045301555695045126	0	0	0.04776308378548758	0	0	0.023225017490794572	0	0.030653354437560322	0	0.01	0.28468936981013365	1.0059725310186751
